Open,High,Low,Close,Adj Close,Volume,diffs,date
112.37000274658203,113.38999938964844,111.51000213623047,113.33000183105469,87.12992858886719,118944600,0.0,2010-01-04
113.26000213623047,113.68000030517578,112.8499984741211,113.62999725341797,87.360595703125,111579900,0.26470962,2010-01-05
113.5199966430664,113.98999786376953,113.43000030517578,113.70999908447266,87.42205810546875,116074400,0.07040556,2010-01-06
113.5,114.33000183105469,113.18000030517578,114.19000244140625,87.79112243652344,131091100,0.42212942,2010-01-07
113.88999938964844,114.62000274658203,113.66000366210938,114.56999969482422,88.0832748413086,126402800,0.33277629,2010-01-08
115.08000183105469,115.12999725341797,114.23999786376953,114.7300033569336,88.2062759399414,106375700,0.13965581,2010-01-11
113.97000122070312,114.20999908447266,113.22000122070312,113.66000366210938,87.3836441040039,163333500,-0.93262413,2010-01-12
113.94999694824219,114.94000244140625,113.37000274658203,114.62000274658203,88.12171936035156,161822000,0.84462349,2010-01-13
114.48999786376953,115.13999938964844,114.41999816894531,114.93000030517578,88.36004638671875,115718800,0.27045677,2010-01-14
114.7300033569336,114.83999633789062,113.19999694824219,113.63999938964844,87.3682632446289,212283100,-1.12242314,2010-01-15
113.62000274658203,115.12999725341797,113.58999633789062,115.05999755859375,88.4599609375,139172700,1.24955841,2010-01-19
114.27999877929688,114.44999694824219,112.9800033569336,113.88999938964844,87.56047058105469,216490200,-1.0168592,2010-01-20
113.91999816894531,114.2699966430664,111.55999755859375,111.69999694824219,85.87676239013672,344859600,-1.92291022,2010-01-21
111.19999694824219,111.73999786376953,109.08999633789062,109.20999908447266,83.96243286132812,345942400,-2.22918347,2010-01-22
110.20999908447266,110.41000366210938,109.41000366210938,109.7699966430664,84.3929672241211,186937500,0.51277132,2010-01-25
109.33999633789062,110.47000122070312,109.04000091552734,109.30999755859375,84.039306640625,211168800,-0.41905721,2010-01-26
109.16999816894531,110.08000183105469,108.33000183105469,109.83000183105469,84.43910217285156,271863600,0.4757152,2010-01-27
110.19000244140625,110.25,107.91000366210938,108.56999969482422,83.47039794921875,316104000,-1.14722946,2010-01-28
109.04000091552734,109.80000305175781,107.22000122070312,107.38999938964844,82.56317138671875,310677600,-1.08685669,2010-01-29
108.1500015258789,109.06999969482422,107.5,109.05999755859375,83.84709167480469,187865000,1.55507792,2010-02-01
109.26000213623047,110.58999633789062,108.87999725341797,110.37999725341797,84.86194610595703,216327900,1.21034268,2010-02-02
109.87999725341797,110.4800033569336,109.51000213623047,109.83000183105469,84.43910217285156,172730700,-0.49827454,2010-02-03
108.9800033569336,109.02999877929688,106.41999816894531,106.44000244140625,81.83282470703125,356715700,-3.08658776,2010-02-04
